,Temporada,Jornada,SeasonStage,TotalGoals,is_win,is_draw,is_loss,is_home_game,is_away_game,game_counter,is_over,is_AA,is_win_home,is_draw_home,is_loss_home,is_win_away,is_draw_away,is_loss_away,home_goals,away_goals,is_over_home,is_AA_home,is_over_away,is_AA_away,is_win_norm,is_loss_norm,is_draw_norm,is_over_norm,is_AA_norm,is_win_home_norm,is_loss_home_norm,is_draw_home_norm,is_over_home_norm,is_AA_home_norm,is_win_away_norm,is_loss_away_norm,is_draw_away_norm,is_over_away_norm,is_AA_away_norm
0,2015-2016,1.0,Apertura,20.0,4,0,3,2,5,7,4,3,1,0,1,3,0,2,10.0,10.0,1,1,3,2,0.5714285714285714,0.42857142857142855,0.0,0.5714285714285714,0.42857142857142855,0.5,0.5,0.0,0.5,0.5,0.6,0.4,0.0,0.6,0.4
1,2015-2016,1.0,Clausura,12.0,4,3,0,5,2,7,1,3,3,2,0,1,1,0,7.0,5.0,0,1,1,2,0.5714285714285714,0.0,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.6,0.0,0.4,0.0,0.2,0.5,0.0,0.5,0.5,1.0
2,2015-2016,2.0,Apertura,25.0,4,1,3,4,4,8,6,5,2,0,2,2,1,1,11.0,14.0,2,2,4,3,0.5,0.375,0.125,0.75,0.625,0.5,0.5,0.0,0.5,0.5,0.5,0.25,0.25,1.0,0.75
3,2015-2016,2.0,Clausura,26.0,5,1,1,3,4,7,6,5,2,1,0,3,0,1,11.0,15.0,2,2,4,3,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.8571428571428571,0.7142857142857143,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.75,0.25,0.0,1.0,0.75
4,2015-2016,3.0,Apertura,33.0,4,0,5,6,3,9,8,6,3,0,3,1,0,2,15.0,18.0,5,4,3,2,0.4444444444444444,0.5555555555555556,0.0,0.8888888888888888,0.6666666666666666,0.5,0.5,0.0,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,1.0,0.6666666666666666
5,2015-2016,3.0,Clausura,19.0,1,3,4,3,5,8,2,5,0,2,1,1,1,3,10.0,9.0,1,3,1,2,0.125,0.5,0.375,0.25,0.625,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.2,0.6,0.2,0.2,0.4
6,2015-2016,4.0,Apertura,33.0,2,1,6,3,6,9,6,6,1,1,1,1,0,5,21.0,12.0,2,3,4,3,0.2222222222222222,0.6666666666666666,0.1111111111111111,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.16666666666666666,0.8333333333333334,0.0,0.6666666666666666,0.5
7,2015-2016,4.0,Clausura,19.0,3,3,2,4,4,8,3,6,2,1,1,1,2,1,11.0,8.0,1,2,2,4,0.375,0.25,0.375,0.375,0.75,0.5,0.25,0.25,0.25,0.5,0.25,0.25,0.5,0.5,1.0
8,2015-2016,5.0,Apertura,33.0,5,2,3,4,6,10,7,9,2,1,1,3,1,2,17.0,16.0,3,4,4,5,0.5,0.3,0.2,0.7,0.9,0.5,0.25,0.25,0.75,1.0,0.5,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.8333333333333334
9,2015-2016,5.0,Clausura,30.0,2,5,1,5,3,8,5,8,1,4,0,1,1,1,18.0,12.0,3,5,2,3,0.25,0.125,0.625,0.625,1.0,0.2,0.0,0.8,0.6,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0
10,2015-2016,6.0,Apertura,33.0,3,1,6,6,4,10,7,8,2,0,4,1,1,2,16.0,17.0,4,4,3,4,0.3,0.6,0.1,0.7,0.8,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.25,0.5,0.25,0.75,1.0
11,2015-2016,6.0,Clausura,28.0,3,3,2,3,5,8,4,5,2,1,0,1,2,2,20.0,8.0,2,2,2,3,0.375,0.25,0.375,0.5,0.625,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.2,0.4,0.4,0.4,0.6
12,2015-2016,7.0,Apertura,34.0,5,1,4,4,6,10,8,8,3,0,1,2,1,3,21.0,13.0,4,4,4,4,0.5,0.4,0.1,0.8,0.8,0.75,0.25,0.0,1.0,1.0,0.3333333333333333,0.5,0.16666666666666666,0.6666666666666666,0.6666666666666666
13,2015-2016,7.0,Clausura,14.0,4,3,1,5,3,8,2,3,3,1,1,1,2,0,8.0,6.0,0,0,2,3,0.5,0.125,0.375,0.25,0.375,0.6,0.2,0.2,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,1.0
14,2015-2016,8.0,Apertura,32.0,7,0,3,6,4,10,7,5,5,0,1,2,0,2,21.0,11.0,5,4,2,1,0.7,0.3,0.0,0.7,0.5,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.6666666666666666,0.5,0.5,0.0,0.5,0.25
15,2015-2016,8.0,Clausura,19.0,4,3,1,3,5,8,4,5,1,1,1,3,2,0,7.0,12.0,2,3,2,2,0.5,0.125,0.375,0.5,0.625,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.6,0.0,0.4,0.4,0.4
16,2015-2016,9.0,Apertura,18.0,1,4,4,3,6,9,2,3,0,2,1,1,2,3,11.0,7.0,0,1,2,2,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.2222222222222222,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333
17,2015-2016,9.0,Clausura,21.0,2,3,3,7,1,8,4,3,2,3,2,0,0,1,14.0,7.0,3,2,1,1,0.25,0.375,0.375,0.5,0.375,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.0,1.0,0.0,1.0,1.0
18,2015-2016,10.0,Apertura,24.0,3,2,4,7,2,9,5,6,2,2,3,1,0,1,12.0,12.0,3,4,2,2,0.3333333333333333,0.4444444444444444,0.2222222222222222,0.5555555555555556,0.6666666666666666,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.5,0.5,0.0,1.0,1.0
19,2015-2016,10.0,Clausura,14.0,3,4,1,1,7,8,4,3,0,1,0,3,3,1,5.0,9.0,0,0,4,3,0.375,0.125,0.5,0.5,0.375,0.0,0.0,1.0,0.0,0.0,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.5714285714285714,0.42857142857142855
20,2015-2016,11.0,Apertura,33.0,3,1,5,4,5,9,8,8,1,1,2,2,0,3,17.0,16.0,4,4,4,4,0.3333333333333333,0.5555555555555556,0.1111111111111111,0.8888888888888888,0.8888888888888888,0.25,0.5,0.25,1.0,1.0,0.4,0.6,0.0,0.8,0.8
21,2015-2016,11.0,Clausura,20.0,4,0,3,6,1,7,4,4,4,0,2,0,0,1,13.0,7.0,4,4,0,0,0.5714285714285714,0.42857142857142855,0.0,0.5714285714285714,0.5714285714285714,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,0.0,0.0,0.0
22,2015-2016,12.0,Apertura,28.0,6,1,2,5,4,9,8,8,4,0,1,2,1,1,15.0,13.0,4,4,4,4,0.6666666666666666,0.2222222222222222,0.1111111111111111,0.8888888888888888,0.8888888888888888,0.8,0.2,0.0,0.8,0.8,0.5,0.25,0.25,1.0,1.0
23,2015-2016,12.0,Clausura,18.0,2,4,1,3,4,7,3,5,1,2,0,1,2,1,9.0,9.0,2,3,1,2,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.42857142857142855,0.7142857142857143,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,1.0,0.25,0.25,0.5,0.25,0.5
24,2015-2016,13.0,Apertura,19.0,0,3,5,3,5,8,4,4,0,1,2,0,2,3,10.0,9.0,2,2,2,2,0.0,0.625,0.375,0.5,0.5,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.6,0.4,0.4,0.4
25,2015-2016,13.0,Clausura,13.0,2,3,2,5,2,7,3,3,1,2,2,1,1,0,5.0,8.0,3,2,0,1,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.2,0.4,0.4,0.6,0.4,0.5,0.0,0.5,0.0,0.5
26,2015-2016,-,Apertura,15.0,1,2,2,3,2,5,4,2,1,1,1,0,1,1,9.0,6.0,3,2,1,0,0.2,0.4,0.4,0.8,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.0,0.5,0.5,0.5,0.0
27,2015-2016,-,Clausura,10.0,2,3,1,2,4,6,1,3,1,1,0,1,2,1,5.0,5.0,0,1,1,2,0.3333333333333333,0.16666666666666666,0.5,0.16666666666666666,0.5,0.5,0.0,0.5,0.0,0.5,0.25,0.25,0.5,0.25,0.5
28,2016-2017,1.0,Apertura,23.0,2,4,3,5,4,9,4,6,2,3,0,0,1,3,16.0,7.0,2,4,2,2,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.4444444444444444,0.6666666666666666,0.4,0.0,0.6,0.4,0.8,0.0,0.75,0.25,0.5,0.5
29,2016-2017,1.0,Clausura,31.0,4,2,3,4,5,9,6,6,3,0,1,1,2,2,19.0,12.0,3,3,3,3,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.6666666666666666,0.6666666666666666,0.75,0.25,0.0,0.75,0.75,0.2,0.4,0.4,0.6,0.6
30,2016-2017,2.0,Apertura,18.0,4,5,2,7,4,11,4,2,4,2,1,0,3,1,12.0,6.0,3,1,1,1,0.36363636363636365,0.18181818181818182,0.45454545454545453,0.36363636363636365,0.18181818181818182,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.0,0.25,0.75,0.25,0.25
31,2016-2017,2.0,Clausura,30.0,5,1,5,4,7,11,4,4,3,0,1,2,1,4,20.0,10.0,1,1,3,3,0.45454545454545453,0.45454545454545453,0.09090909090909091,0.36363636363636365,0.36363636363636365,0.75,0.25,0.0,0.25,0.25,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.42857142857142855,0.42857142857142855
32,2016-2017,3.0,Apertura,29.0,3,3,6,3,9,12,6,5,1,1,1,2,2,5,17.0,12.0,1,1,5,4,0.25,0.5,0.25,0.5,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.5555555555555556,0.2222222222222222,0.5555555555555556,0.4444444444444444
33,2016-2017,3.0,Clausura,20.0,3,7,2,9,3,12,2,5,3,4,2,0,3,0,11.0,9.0,2,2,0,3,0.25,0.16666666666666666,0.5833333333333334,0.16666666666666666,0.4166666666666667,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.0,0.0,1.0,0.0,1.0
